Unnamed: 0,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
20,CompoundBravo,becomeone.eth,0xc9ca0fb795080c591cbc45959ab868eaab1c9add,FOR,3.135339e+16,16052289,1669443131,0x5282d7877047d7c230bf4b1b78348fca07b8000735f56ccda8062ced957bba1e,0.03135339,3.135339e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,3.1e-09
21,CompoundBravo,lightana.eth,0xd7f0efc1736ac7e32db2f9f48692308c62c9b020,FOR,4e+16,16052438,1669444919,0x26a463ebbc47b4d39a17b259e78f669892003de52ac04bbf0f15edae2b8eff60,0.04,4e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,4e-09
22,CompoundBravo,0x365365.eth,0x281fbb9e61c55b3e7bd7dbd90a771671ce029f3d,FOR,1.23e+18,16052675,1669447763,0xa8b8bcd7e3109b77924604a24f22034b25935821f6200af8487420b80405c437,1.23,1.23e+18,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.23e-07
23,CompoundBravo,taiyaki.eth,0xd8dea87ddcc0c3c1464ded6102e4d3e829d0ae41,FOR,2.091978908795451e+16,16052714,1669448231,0xbf8271e015cea81d484797cb6b3ad8ed42e31a1056c577be97682003f0124e5d,0.02091978908795452,2.091978908795451e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2.1e-09
24,CompoundBravo,odosdex.eth,0x11c076d9b2a969a927f06824efcd8b55050985f3,FOR,2e+16,16052764,1669448831,0x1bb176f8e5221dd0f9668924447600fd7cd462126dd5ee3998c099e933a90e09,0.02,2e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2e-09
25,CompoundBravo,pythonweb3.eth,0xd41cd94fba987fd46d51ab2104a4707822666666,FOR,1.2e+17,16052824,1669449551,0x406aa390ad6935155457b6ad9d162b779261c6da2a83f5913f331596a309bb24,0.12,1.2e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.2e-08
26,CompoundBravo,,0x4121b940b6b6a23624f61d87ff74b95d1d213ad4,FOR,2.2e+16,16052844,1669449791,0xe46c54fd1b050678986e4926315a445e9384a4cd631c08cba200608b69a54b49,0.022,2.2e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2.2e-09
27,CompoundBravo,appledeveloper.eth,0x8c155a38df395fc6c913e1eed4463c03055ffbca,FOR,2.391826775946339e+17,16052846,1669449815,0x2729e31abf0b3ad043bf7de4b1db25fd5ec4216d544ef04facc1e870ecee5a8d,0.2391826775946339,2.391826775946339e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2.39e-08
28,CompoundBravo,,0xb965f4100275b60dff316e8e4793eb4fe7ebcee1,FOR,2.0985359830871053e+18,16052903,1669450523,0xeb09feaa6e92da7938f52b73e45158d136000370112f2805f7971bc7cbb2b61f,2.0985359830871047,2.0985359830871053e+18,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,2.099e-07
29,CompoundBravo,givevalue.eth,0x16c4e68b5ea69af57085b5152065100ba24ad71f,FOR,5.708825063092845e+16,16052913,1669450643,0xba45d35a8e011c63d748da8303920d61fd857516a2dab521aac6d96ebe5581d2,0.05708825063092845,5.708825063092845e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,5.7e-09
30,CompoundBravo,yousuke.eth,0x91882b545ed077354310ba2015bbd0994aa0c834,FOR,1.2e+17,16052928,1669450823,0x9bc690b9da66d3cb5d6a3a549fa211c5edf39f7f03a392abd4b5fd3935e6dc41,0.12,1.2e+17,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.2e-08
31,CompoundBravo,,0x1337c2947f5cea6d48a70922ae71d9a79027a82b,FOR,1e+16,16052942,1669451003,0x4264246da32d249314f120719ada520f78b2c6d6a3451928806194cb9088888b,0.01,1e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1e-09
32,CompoundBravo,0xmhp.eth,0x42419cad559a52b8bd6e99a6f7af76159218722b,FOR,1.2e+18,16052943,1669451015,0xa171434393b566d8d64f0d3f4e719be5439419db3aa219b7db8441ab54b48859,1.2,1.2e+18,2.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.2e-07
33,CompoundBravo,,0xa848d2fe2f8537735ea766cf39e7d02b56a191dd,FOR,1.2e+16,16052947,1669451063,0xdac3ff263572f794134cb4255f6843734fda198a58dae287d6f60dbe6ffb2013,0.012,1.2e+16,1.0,135,EXECUTED,400000000000000000000000,203420,4388,1,167,3,171,52802606607230076,470137382914603825985482,37670320604378722,470137473387531037594280,1669268111,16050926.0,16070636.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1e+25,1.2e-09
