Unnamed: 0,Unnamed: 0.1,DAO Name,ENS,Voter Address,Voter Choice,Weight,block,Vote Time,Transaction Hash,Current Delegated Votes to Voter,Current Delegated Votes Raw to Voter,Voter Token Holders Represented,Proposal ID,Proposal State,Quorum Votes,Proposal Token Holders,Proposal Delegate Holders,Against Delegate Votes,For Delegate Votes,Abstain Delegate Votes,Total Delegate Votes,Against Weighted Votes,For Weighted Votes,Abstain Weighted Votes,Total Weighted Votes,Proposal Date Created,Proposal Date Start,Proposal Date End,Offchain?,Proposal Choices,DAO Token Supply,Voter Power
21,21.0,AaveV2,monanoliza.eth,0x5df79ebe609d93b9624f987c32df3f7cb67321b2,FOR,7.889784019135256e+16,16046835,1669377299,0x6977435fc0040d03219fb4461acddb3d2f78580ece400e15d259e5408344cb52,0.07889784019135256,7.889784019135256e+16,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,4.9e-09
22,22.0,AaveV2,narina.eth,0x997b86481ea10a414ac34acbcf1e3030274a618d,FOR,3.3364603993641606e+17,16046893,1669377995,0x099f9434d39c730893778a02813589c487c5558a678739d286c1a90b63904186,0.3336460399364161,3.3364603993641606e+17,0.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.09e-08
23,23.0,AaveV2,narina.eth,0x997b86481ea10a414ac34acbcf1e3030274a618d,FOR,3.3364603993641606e+17,16046896,1669378031,0x296d678f9f5499bab309206fabee9229e60823be77613fb27418c8749da1438e,0.3336460399364161,3.3364603993641606e+17,0.0,121,EXECUTED,320000000000000000000000,138845,125676,10,192,0,202,2295143109987078635,536870693851514514703980,0,536872988994624501782615,1669156655,16035767.0,16054967.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.09e-08
24,24.0,AaveV2,bulatg.eth,0x69172956a8af5d61d47bef87a392e0585f120b8d,FOR,6.66965191498653e+17,16046898,1669378055,0x990339f3fc8caca881a6877a6f76282e5df19e02b5757588059ebb03d0c8fa76,0.666965191498653,6.66965191498653e+17,0.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,4.17e-08
25,25.0,AaveV2,bulatg.eth,0x69172956a8af5d61d47bef87a392e0585f120b8d,FOR,6.66965191498653e+17,16046899,1669378067,0xb54e6e97839210bc0825fb0340ea6dfad4768c4057c34dfbad91f7212de2a676,0.666965191498653,6.66965191498653e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,4.17e-08
26,26.0,AaveV2,marmeladnaav.eth,0xff938bd81c2671c28caf920d8015bad9fb816d59,FOR,6.326694751520873e+17,16046901,1669378091,0x44eb9f79e95c305e3b71a4d6e5a78da0c99d364ebe9f430157c2fcf41b6044a1,0.6326694751520874,6.326694751520873e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,3.95e-08
27,27.0,AaveV2,marmeladnaav.eth,0xff938bd81c2671c28caf920d8015bad9fb816d59,FOR,6.326694751520873e+17,16046902,1669378103,0x786ea43c08e265b43b8ded330107b07b31fd2a6117fd93f85928d75ca20b31a2,0.6326694751520874,6.326694751520873e+17,0.0,120,EXECUTED,320000000000000000000000,138559,125394,10,189,0,199,925566334431944141,521134091380543240733815,0,521135016946877672677956,1669088651,16030143.0,16049343.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,3.95e-08
28,28.0,AaveV2,marmeladovasona.eth,0x006970fd32059734e586a323b13fc1ce625f296b,FOR,6.538687750142698e+17,16046908,1669378175,0x2a7857333c45d8be0d0572a9d3c84e46ae8d8aa8b67158260e9668fbd3847c7c,0.6538687750142699,6.538687750142698e+17,0.0,124,EXECUTED,320000000000000000000000,139103,125927,14,161,0,175,2046523066605471176,488031192746819839088891,0,488033239269886444560067,1669262927,16044555.0,16063755.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,4.09e-08
29,29.0,AaveV2,dylanfrances.eth,0x8fbb54606676ba5f8edc6c4c88ef29b86d58774c,FOR,3e+17,16046932,1669378463,0xad80a3925c6c5e5db3d0812007930387877542b72f580561e475f8844cbfc510,0.3,3e+17,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,1.88e-08
30,30.0,AaveV2,571745.eth,0x95a54db718f290df341650903a95aa47d372637c,FOR,3.825093913141361e+16,16046948,1669378667,0x876a632a1c163eb4700570ff58d2d354b537ba327d139a4e36ce0aef6adda33e,0.03825093913141362,3.825093913141361e+16,0.0,123,EXECUTED,320000000000000000000000,138857,125686,38,256,0,294,12216631543268498578,567025741931418344691185,0,567037958562961613189763,1669172867,16037113.0,16056313.0,0,"['FOR', 'AGAINST', 'ABSTAIN']",1.6e+25,2.4e-09
