id,forWeightedVotes,againstWeightedVotes,totalWeightedVotes,timestamp,blockNumber,proposal.id
11-18911,3,0,3,1633990070,13399867,11
11-18912,6,0,6,1634080190,13406510,11
11-18913,20,0,20,1634151224,13411650,11
112-19189,58,0,58,1658004682,15155948,112
112-19190,64,0,65,1658092414,15162474,112
112-19191,105,1,107,1658188150,15169640,112
112-19192,117,1,119,1658197872,15170374,112
113-19190,5,0,5,1658098605,15162938,113
113-19191,64,1,65,1658188569,15169676,113
113-19192,98,1,100,1658274041,15176096,113
113-19193,123,1,125,1658338126,15180840,113
114-19190,5,0,5,1658098846,15162956,114
114-19191,69,0,69,1658188618,15169680,114
114-19192,117,0,117,1658274102,15176098,114
114-19193,137,0,137,1658338468,15180860,114
116-19196,1,0,1,1658561252,15197603,116
116-19197,30,0,30,1658706135,15208324,116
116-19198,108,0,108,1658790609,15214576,116
116-19199,109,0,109,1658803860,15215552,116
117-19201,3,0,3,1659052454,15234027,117
117-19202,9,0,9,1659100739,15237587,117
118-19202,10,0,10,1659135754,15240208,118
118-19203,45,0,45,1659211065,15245803,118
118-19204,69,63,132,1659306668,15252944,118
1-18861,2,0,2,1629669343,13077700,1
1-18862,5,0,5,1629745897,13083370,1
1-18863,7,0,7,1629810064,13088169,1
119-19203,77,0,78,1659211702,15245857,119
119-19204,139,0,140,1659307150,15252980,119
119-19205,158,1,160,1659377239,15258182,119
120-19203,2,65,67,1659217278,15246270,120
120-19204,14,114,130,1659306489,15252927,120
120-19205,15,124,142,1659372501,15257835,120
120-19206,15,130,148,1659416482,15261090,120
121-19204,3,90,93,1659307182,15252983,121
121-19205,4,99,105,1659377291,15258190,121
121-19206,27,99,134,1659483599,15266104,121
12-18921,2,0,2,1634845146,13462935,12
12-18922,7,0,7,1634924822,13468821,12
12-18923,15,0,15,1635006407,13474863,12
12-18924,20,0,20,1635040972,13477426,12
122-19204,2,47,49,1659307524,15253003,122
122-19205,11,51,65,1659386130,15258853,122
122-19206,12,71,86,1659481736,15265961,122
122-19207,12,72,87,1659501642,15267395,122
123-19204,1,0,1,1659305208,15252830,123
123-19205,36,6,42,1659389257,15259079,123
123-19206,47,7,54,1659481736,15265961,123
123-19207,99,7,106,1659543297,15270453,123
124-19204,5,0,5,1659308178,15253049,124
124-19205,43,0,43,1659389488,15259097,124
124-19206,80,1,81,1659481736,15265961,124
124-19207,150,1,153,1659565599,15272145,124
125-19207,100,0,100,1659570485,15272512,125
125-19208,130,0,130,1659648238,15278247,125
125-19209,144,0,144,1659734770,15284715,125
125-19210,161,0,161,1659760677,15286657,125
126-19211,1,0,1,1659904136,15297360,126
126-19212,9,0,9,1659990768,15303742,126
126-19213,132,0,132,1660083951,15310656,126
126-19214,157,0,157,1660118341,15313160,126
127-19215,2,9,11,1660258900,15323465,127
127-19216,47,30,77,1660347701,15329997,127
127-19217,51,31,82,1660402406,15334057,127
128-19216,47,0,48,1660347861,15330005,128
128-19217,75,0,76,1660411515,15334704,128
128-19218,99,0,100,1660516297,15342416,128
128-19219,111,0,112,1660534856,15343751,128
129-19217,1,0,1,1660414364,15334948,129
129-19218,14,0,14,1660516504,15342428,129
129-19219,25,1,26,1660595755,15348151,129
129-19220,59,1,60,1660676569,15354094,129
130-19221,1,53,54,1660772705,15361143,130
130-19222,1,55,56,1660836322,15365784,130
130-19223,42,58,102,1660953299,15374290,130
130-19224,42,60,104,1660982082,15376423,130
131-19223,2,16,18,1660937873,15373186,131
13-18922,14,0,14,1634925082,13468846,13
13-18923,15,0,15,1634985709,13473280,13
13-18924,20,0,20,1635041073,13477438,13
132-19224,23,0,23,1661016332,15378906,132
132-19225,38,6,44,1661111529,15385923,132
132-19226,44,56,101,1661210011,15393104,132
132-19227,60,58,119,1661235173,15394960,132
133-19227,8,96,104,1661298438,15399597,133
133-19228,9,99,117,1661371495,15404891,133
133-19229,26,99,134,1661419025,15408278,133
134-19238,8,35,43,1662239879,15467653,134
134-19239,12,42,54,1662332250,15474367,134
134-19240,14,122,138,1662412872,15480114,134
134-19241,29,123,154,1662434609,15481662,134
135-19238,3,0,3,1662240730,15467713,135
135-19239,43,0,43,1662332293,15474371,135
135-19240,110,0,110,1662415064,15480282,135
135-19241,140,0,140,1662435194,15481696,135
136-19239,0,2,2,1662332330,15474373,136
136-19240,6,90,96,1662412877,15480115,136
136-19241,26,97,123,1662492556,15485928,136
136-19242,43,97,140,1662512475,15487351,136
137-19244,34,0,34,1662741626,15503778,137
137-19245,47,0,47,1662837723,15510541,137
137-19246,74,0,74,1662940694,15517746,137
137-19247,154,0,154,1662950715,15518472,137
138-19245,32,5,37,1662818509,15509170,138
138-19246,64,7,71,1662940798,15517756,138
138-19247,87,65,152,1663026842,15523776,138
139-19245,17,0,17,1662805968,15508343,139
139-19246,25,0,25,1662939652,15517674,139
139-19247,108,0,108,1663026884,15523780,139
139-19248,110,0,110,1663039848,15524683,139
140-19250,15,0,15,1663275947,15541651,140
140-19251,54,0,54,1663372391,15549562,140
140-19252,140,0,140,1663440119,15555155,140
141-19251,5,0,5,1663372331,15549557,141
141-19252,42,79,121,1663455107,15556388,141
141-19253,52,80,132,1663532423,15562772,141
141-19254,78,88,166,1663601423,15568462,141
14-18929,8,0,8,1635546130,13514751,14
14-18930,9,0,9,1635622697,13520366,14
14-18931,24,0,24,1635693883,13525568,14
14-18932,25,0,25,1635731201,13528332,14
142-19255,32,29,61,1663716059,15577926,142
142-19256,137,29,166,1663782815,15583356,142
142-19257,143,29,172,1663852295,15589096,142
143-19256,99,0,99,1663794191,15584295,143
143-19257,134,0,134,1663889531,15592185,143
143-19258,149,0,149,1663973555,15599154,143
143-19259,176,0,176,1663983467,15599977,143
144-19264,3,0,3,1664481203,15641209,144
144-19265,5,30,35,1664581583,15649526,144
144-19266,76,31,107,1664653163,15655441,144
144-19267,106,31,137,1664700335,15659351,144
145-19264,2,0,2,1664481227,15641211,145
145-19265,54,0,54,1664581607,15649528,145
145-19266,119,14,133,1664653235,15655447,145
145-19267,149,14,165,1664707775,15659969,145
146-19265,6,47,53,1664581655,15649532,146
146-19266,8,49,58,1664657795,15655824,146
146-19267,32,53,88,1664749151,15663404,146
146-19268,35,54,93,1664787983,15666622,146
147-19265,54,0,54,1664581691,15649535,147
