Voter Choice,weight,Voter Reason,block,blockTime,Transaction Hash,Voter Address,Proposal ID,DAO Name,Offchain?,Proposal Choices,state,quorumVotes,tokenHoldersAtStart,delegatesAtStart,againstDelegateVotes,forDelegateVotes,abstainDelegateVotes,totalDelegateVotes,againstWeightedVotes,forWeightedVotes,abstainWeightedVotes,totalWeightedVotes,Proposal Date Created,Proposal Date Start,Proposal Date End,Proposal Author,DAO Token Supply,Voting Power
FOR,7.05146e+23,,13408631,1634108903,0x57f6363c6d4dcc2485e6468eed56acb97b03ee390110541eb8344ce5cfaf1c12,0x0bf5ee128d559eef716172a2e535a700129d278f,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,0.000705146
FOR,0.0,,13365580,1633525728,0xa9dd838d1a271ee9a8d233f1d66b6a02113f6281864ef6d4103baee16d73b48b,0x0cbdcf9f22e8f201268c4ad53b0c4085d9f4c8a7,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,0.0
FOR,5.452977005955914e+21,,13397629,1633959988,0x242c3b9b6851dcc9f54bfc7396c9259b26462ace3925ee96d608df909285d92b,0x0cf5f571412f90c515da999b7ae7570ef7cc6599,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,5.452977005955914e-06
FOR,1.0085360514491728e+19,,13358355,1633427161,0x196f46ff1ad59cfc4e2a168278bbc956bf32b6db3e0a1d834b0e56fa25bdc375,0x0d0f9e55f56d1540a3cced6c64e5a023b4cd23ae,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.0085360514491728e-08
FOR,6.481433319914275e+19,,13360264,1633453262,0xfdaccfd1e31267b680886e7394dc547239290b6e129a7d70c6cd612589af82ee,0x0db0f4506f5de744052d90f04e3fca3d1dd3600d,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,6.481433319914274e-08
FOR,7.00038932393911e+23,,13388435,1633835334,0xa4edc1ac56a220f1f2a0b088c2999c0401cdd069de439be60b0a9d8a953e80cc,0x0dc874fb5260bd8749e6e98fd95d161b7605774d,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,0.000700038932393911
FOR,0.0,,13351725,1633338904,0x89b7a9df4fbb5f143c66288133ea6c17a0e5a66965dd59d22a007992a3dbe8b4,0x0e5be6215f22834d747e2ee845ed50a33eb56795,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,0.0
FOR,1.1650073779650858e+21,,13409426,1634120130,0x6115fe9510ef152331ec5f4fd2a1fa9980e4da00f71564cd109dc99d8eb20545,0x0e63ee1a039bcc422b1baaf65c7ae30c497d3fc8,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,1.1650073779650857e-06
FOR,2.00063e+21,,13381861,1633745842,0x55fd2238d3459c526729b504c4587f7fcd616f33308e41c7d61d0c13c2b5c67a,0x0f8361ef329b43fa48ac66a7cd8f619c517274f1,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,2.00063e-06
FOR,2.3462465655372327e+21,,13363017,1633490801,0x266eec1a7b222fcefba55c58412759471eeff6cfc25659071e31cd1daa412d66,0x1000f47de952a518ef7bfc3376becc6e70f94939,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,2.3462465655372327e-06
FOR,9e+20,,13350821,1633326352,0x38bff849aaaa49d025a87b578780d4b200a9d0214ecce6c3eb76a5a55e77a620,0x10061123876ceea12642342afe829444b7e0d48a,0,dydx,0,"['FOR', 'AGAINST', 'ABSTAIN']",ACTIVE,100000000000000000000000000,17281,17205,9,544,0,553,63323197577874932875747,86508564948587851660896021,0,86571888146165726593771768,1633222846,1633312039,1634203298,0xf88487bfb6726da59c203c771ade7e1272f42d1c,1e+27,9e-07
