choice,weight,voter.id
FOR,5072025510572015616,0x10cea1cb642315e4d2375c20d22e858a6d082ccc
FOR,148411629760696146131,0x10e5fdfc4f07b9747a99aa2aa0e154011c84a9c2
FOR,1686517388121063424,0x113406a66a9c41b9899f9bf08c39931cd7437ac3
FOR,5901750813393674240,0x11ea1587479e343ed96479740874025357fe0612
FOR,5803761775626985472,0x139ee0c080e8fc626e27dded61869a811ad2b2dc
FOR,14200000000000000000,0x1415f4f436ee87cd1e839f281ba248794d33e921
FOR,5231073006027964416,0x14c7585ce7daf554d8852278fd2ad20e976c59d1
FOR,0,0x14d7c606d985fbe3188ea90831b5e0fbdb3b9a17
FOR,5861594961946243072,0x161f3a011f67f20bab41e19be80938219c35a8fc
FOR,5656136918206423040,0x165e2a588b5516f80799361f7b8437bd9fbc3496
FOR,1136355678428422144,0x1665deabb5f7711034601d8eeb31be333d3f88a0
ABSTAIN,0,0x1684c382352fa8992e2d12264b08cbfd8e06b7b1
FOR,5502528650205134848,0x1725416155f0f6e80fde63fd628032bfa45908f7
FOR,0,0x172ccfa1484142356bc54edc7073b03eae10e2f6
FOR,5476180968519835648,0x173e831d2d22e237593736784eacc3bb80c3b0f0
FOR,1294307940000000000,0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e
FOR,5229962148523155456,0x179a510e7042a1ebcfebb3d9b79ab03277d4bfe3
FOR,0,0x17cc5605710640444082b13b2fdcfc36a16ccc51
FOR,12431913771008,0x18108b6c46ce2a0b67d40e60f12c63c75cd7c88a
FOR,5746199190854426624,0x187e340b197205b70203fd5d00da05ed21088f7e
FOR,1000000000000000000,0x1a5da809b313ee593b3bba6b063f747e2288acb6
FOR,0,0x1ba1ff69f03d38af7ef40e3afdc53ad073eb4642
FOR,5663970132285399040,0x1bc13582dd4654a21336a4118bc7fe8a47c09cc7
FOR,0,0x1d45c9fe2846063c9c0954781f1c8031bd39776a
FOR,339506306204245967872,0x1d5460f896521ad685ea4c3f2c679ec0b6806359
FOR,2600000000000000000,0x1f5e9701091b54457b573f9b9720f87b3fbc97c4
FOR,0,0x1f63690d46ac591366508eb66ff585f6d0bfc42e
FOR,0,0x1f6e2fdc8d2f6e49db48f6c1dd95f8d7c1061bfc
FOR,118948058003217462272,0x1f70ebbd87dbe62f323864c982f89c9e81539574
FOR,2761180943674507264,0x2168577af945529fc223e3a2f6d55cc68d8f294a
FOR,1000000000000000000,0x21eae6e365aeb7cd907473ec12176d0976914e68
FOR,0,0x21f14394d1eb6cf83743a1cfb78f1fb1049e7d6c
FOR,5326422615455375360,0x223efbe646858470c2e28da6c929331ecf855dab
FOR,5196285420385214464,0x22d61cd1ddc8b9f951fdb74eae533dadcf4bb196
FOR,0,0x23523c7ede0e71b55ee7433da1734c710d2d292f
FOR,0,0x23690d5be941fdf2573fad8cfec3fdef26805f9a
FOR,125000000000000000000,0x23c4111d6f85de542dd8ad911c7c3cc66e98faa7
FOR,5899982023117766656,0x23dec0dc706eae176f69e871f08d58124cd96e57
FOR,5775995669680619520,0x24a7cbb557cb0c1498f77e70a28dc7cb01e2a2d3
FOR,5204695517546102784,0x2574f999bb26b326a255a1c48fe4a4089e723493
