,id,noun.id,previousDelegate.id,newDelegate.id
19,0x04bf663269eecc79f1a22262ac12087b4d8e636fe11320bc4645e91214f752bb_164,164,0xc3bb8481be69bbacd14ed278ea219eb0f19748ac,0xf896527c49b44aab3cf22ae356fa3af8e331f280
20,0x04fd810d0d8046f7d9bd9a2181fcb176fb0aaf959c7eeba65673f6e1fc4540e5_337,337,0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,0x06aeae3d12ced2ff04d0694ed50f940637a64196
21,0x052c862fbb2f653a2dea2655a2cf76f5c62bb771e6c3cbaa3df44cde06d45aa8_61,61,0x37b45293aaf561a2cdf9e260bf984b643dd3699a,0xf65ea2be0340ddf6c71a4f3c2aff79d8c8f8f9f4
22,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_110,110,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x87757c7fd54d892176e9ecec6767bc16e04a06a8
23,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_140,140,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xfc9e8db5e255439f430e058462360dd52b87cb4f
24,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_150,150,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x87757c7fd54d892176e9ecec6767bc16e04a06a8
25,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_180,180,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f
26,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_190,190,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9
27,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_20,20,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xfc9e8db5e255439f430e058462360dd52b87cb4f
28,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_200,200,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc
29,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_220,220,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xfc9e8db5e255439f430e058462360dd52b87cb4f
30,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_230,230,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x6223bc5fd16a19bcfae2281dde47861cfe1023ee
31,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_240,240,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x88f9e324801320a3fc22c8d045a98ad32a490d8e
32,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_260,260,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9
33,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_280,280,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x83fcfe8ba2fece9578f0bbafed4ebf5e915045b9
34,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_30,30,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x88f9e324801320a3fc22c8d045a98ad32a490d8e
35,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_320,320,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x87757c7fd54d892176e9ecec6767bc16e04a06a8
36,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_330,330,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0xe26d78c6bff297bbc2da3f80fea9a42028a4260f
37,0x0607e8f8432905f0f3cbdcab5deecc86e54720c1679f5f30b5b2f9da8e2e1773_340,340,0x2573c60a6d127755aa2dc85e342f7da2378a0cc5,0x88f9e324801320a3fc22c8d045a98ad32a490d8e
