_id,_timestamp,_transactionHash,_sender,_type,_locked,_wad,id,timestamp,approvals,casted,castedWith,lifted,liftedWith
ADD-ARRAY-0x1b1efceebc7ee53b50597eeefcb1c5539257dab85dda37c147de355884bdf848-23,1571076195,0x1b1efceebc7ee53b50597eeefcb1c5539257dab85dda37c147de355884bdf848,0xa6b5b157670fc71dd34b3e4c8336fe72c0358c78,AddAction,0.988,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x293a6cb90bec95df55341e880703bb337ea2e90583e2dc8eddc4965a9d533f8f-142,1571541442,0x293a6cb90bec95df55341e880703bb337ea2e90583e2dc8eddc4965a9d533f8f,0x9ee1830ff376758c5ecc7fb465f3b14d64116d71,AddAction,1,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x2bf9016dd97ed5155557e753c71a286cbbf679311e728b0860f470e2ab5ac97a-51,1571272624,0x2bf9016dd97ed5155557e753c71a286cbbf679311e728b0860f470e2ab5ac97a,0x07e06ee836cf67bece47f332e7f5060acc678bcd,AddAction,1962,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x2dd557b9e9e0d91f24f67de0d7d4a66c74655a1e65d84d2604bcfd515142e125-242,1570837754,0x2dd557b9e9e0d91f24f67de0d7d4a66c74655a1e65d84d2604bcfd515142e125,0x36c0da9343e4e3c9d22e0e426dc2e534e3611ec5,AddAction,100,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x2e785c6f64fa695d8c6b7949a741ce0088a62cd53c71a3556ecb89ea9698b089-15,1571186908,0x2e785c6f64fa695d8c6b7949a741ce0088a62cd53c71a3556ecb89ea9698b089,0x57db5d6aa783cf29af41330569d24957140fd3eb,AddAction,4.5,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x319e057ff1b41b08a03359ee179073c1bf1be030f70cc7f3b0822806320853e1-80,1571346181,0x319e057ff1b41b08a03359ee179073c1bf1be030f70cc7f3b0822806320853e1,0xffeb82e2dca6842afaf696d96191372994dac86d,AddAction,0.05,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x34bff5677e566401c0fff1b16bc8d9b344f7398b849fbb81dba29dcfee75bc85-57,1570878452,0x34bff5677e566401c0fff1b16bc8d9b344f7398b849fbb81dba29dcfee75bc85,0x24d0db7e182fcd29ddea14c04bcb182c89cbb0c0,AddAction,0.4388,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x3e653bb1de8ebac07a5976335c47f4355390051db8f79c102ee451586703f113-86,1571277116,0x3e653bb1de8ebac07a5976335c47f4355390051db8f79c102ee451586703f113,0x8df937afdf1d08c2ba565d636ca1365a42144385,AddAction,10.0038,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x48e6b35a384b2ab9a6a4bf121b2a9852433442b26c49b2f0f61451bde1d77555-112,1571154760,0x48e6b35a384b2ab9a6a4bf121b2a9852433442b26c49b2f0f61451bde1d77555,0xbbbc41c609aa5cd421c800c6d259fc5da5adedbf,AddAction,10,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x4a81caf8685f8d3e15c679a4fd93d67bd5442cd93df3e2964f295307b6f59cba-145,1571272700,0x4a81caf8685f8d3e15c679a4fd93d67bd5442cd93df3e2964f295307b6f59cba,0x483e359c25d0f7b4b154d4de7e5ce8ba3a4fb2cb,AddAction,1443.9477304,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
ADD-ARRAY-0x4aba4953b34a84cfb9dd7c11d684aa10a593d042cb5fa3d5ec99ab738d4e2f0a-83,1571125777,0x4aba4953b34a84cfb9dd7c11d684aa10a593d042cb5fa3d5ec99ab738d4e2f0a,0x2dfd544d7bdb25734e6390f4d5a94f69208f9a59,AddAction,0.02,,0x043c52c8ff76c088646c8d2630eddf1a8e33ba4c,1570812065,0.0352,1571331629,40564.21793419529623093,1571331588,40564.21793419529623093
