txnHash,delegateChange,delegateVotingPowerChange,transfer,from,to,previous,amount,flag
0xc7b0b20c71cfd13039a2c27f11aa51fc2446e1098fb88517156be71f4f3d7043,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '415131068034941997341514', 'newBalance': '423383637219755729363946'}]",{},,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('8252569184813732022432')},0
0xe7095dcc01289113594a80fb490e18c4218c9b085abc129763047f1127358528,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '423383637219755729363946', 'newBalance': '2423383637219755729363946'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', Decimal('2000000000000000000000000')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('2000000000000000000000000')},0
0x865464723fc070d8685f1a6540370998904397e19cda7f0cc10f1b37290e1114,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '2423383637219755729363946', 'newBalance': '23383637219755729363946'}, {'delegate': '0x425712a974d4f2802309e0e68d001756363c1c55', 'previousBalance': '137230833425381367630', 'newBalance': '2400137230833425381367630'}]","{'0x425712a974D4f2802309e0E68d001756363c1C55': [['0x9843C8a8263308A309BfC3C2d1c308126D8E754D', Decimal('2400000000000000000000000')], ['0x9843C8a8263308A309BfC3C2d1c308126D8E754D', Decimal('2400000000000000000000000')]]}",,,,"{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('-2400000000000000000000000'), '0x425712a974D4f2802309e0E68d001756363c1C55': Decimal('2400000000000000000000000')}",0
0x037204a333d7bf9b8424120f5da2e22ca174c275aa75f66064053680af052dba,[],"[{'delegate': '0x425712a974d4f2802309e0e68d001756363c1c55', 'previousBalance': '2400137230833425381367630', 'newBalance': '137230833425381367630'}]","{'0x0C462Dbb9EC8cD1630f1728B2CFD2769d09f0dd5': [['0x425712a974D4f2802309e0E68d001756363c1C55', Decimal('2400000000000000000000000')]]}",,,,{'0x425712a974D4f2802309e0E68d001756363c1C55': Decimal('-2400000000000000000000000')},0
0x2321aba3d409a5f2601cfd5953d785ef098d2c2c8276dfe018a89dfe2fc0020b,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '318359259884843328423659802', 'newBalance': '318309259884843328423659802'}]","{'0xfdA462548Ce04282f4B6D6619823a7C64Fdc0185': [['0xe02F8E39b8cFA7d3b62307E46077669010883459', Decimal('50000000000000000000000')]]}",,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('-50000000000000000000000')},0
0xc3c405b72ed9f3fb543957776dc8e681ed75235388d7a552d4c8c5111993ad34,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '318309259884843328423659802', 'newBalance': '318660603555542779950088869'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('351343670699451526429067')},0
0xd08ce9e63715a6642855243de91b09dced1a217cf2537322329867ccff74443d,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '8593452772334698870643293', 'newBalance': '9191020631289544126858412'}]","{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': [['0x43365213237ab259C707Bc2Cbc3e07d123ae2AD5', Decimal('597567858954845256215119')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('597567858954845256215119')},0
0x28853aba4a19942e777b925e911c122e0af64b8bdbc8a2c95f5b95975a56370b,[],"[{'delegate': '0xcf263cee139763114faafc5f52865135412f50ec', 'previousBalance': '9191020631289544126858412', 'newBalance': '8191020631289544126858412'}]","{'0x0C462Dbb9EC8cD1630f1728B2CFD2769d09f0dd5': [['0xCF263cEe139763114fAaFC5F52865135412F50Ec', Decimal('1000000000000000000000000')]]}",,,,{'0xCF263cEe139763114fAaFC5F52865135412F50Ec': Decimal('-1000000000000000000000000')},0
0xa704bfcf69095a861240a1168dc017480817662431d596fb8c0bf884be134538,[],"[{'delegate': '0x9843c8a8263308a309bfc3c2d1c308126d8e754d', 'previousBalance': '23383637219755729363946', 'newBalance': '23395331215385602247658'}]","{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': [['0x4a9b7eDD67f58654a2c33B587f98c5709AC7d482', Decimal('333891079310004862002')]]}",,,,{'0x9843C8a8263308A309BfC3C2d1c308126D8E754D': Decimal('11693995629872883712')},0
0x0b996886ccfc447369d24a1d7c6ce4874a6fd9b7a481165291544c70c813f320,[],"[{'delegate': '0xe02f8e39b8cfa7d3b62307e46077669010883459', 'previousBalance': '318660603555542779950088869', 'newBalance': '319012758008750277791276180'}]",{},,,,{'0xe02F8E39b8cFA7d3b62307E46077669010883459': Decimal('352154453207497841187311')},0
