txnHash,source,value
0x356a68aceb0cd0e3af559af75f775a04bb98edba7bc575766020f4ffa233fb37,"['dvpc', 'dc']","[nan, nan]"
0x3616e0eb45308c8811924c620ebe42ee89a0cd61e7383d76a753e5e24967eb21,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x361bb9e8474c9f71a5bafaa2741ca95f21ddd527d920e1453e83652c83f2c6cf,"['dvpc', 'dc']","[nan, nan]"
0x36352d174d5115e73618c88a5a04dd10c339e80c531972f5e5831be39eff5409,['dc'],[nan]
0x36fbe9e2f51810c70e9825569b7956416f0150bd912495f086c6d22c95e7242f,"['dvpc', 'dc']","[nan, nan]"
0x37485644f52251180fb8ff043201cfbf40f926cb2d95386a41f593b628420f64,"['dvpc', 'dvpc', 'transfer', 'transfer']","[nan, nan, '34769880000000000000000', '34769880000000000000000']"
0x377bb1771e4a03d3fee8bc2d8a73ca6c98f4f648ba5e33559cee425afde3bb45,"['dvpc', 'transfer']","[nan, '137230833425381367630']"
0x3824d564fa251166d98d12ee9b6170ed69459d6fcf7934602c146a428be2e311,"['dvpc', 'transfer']","[nan, '200000000000000000000000']"
0x3865de381b6024ec077e18573ef579a72a42817d69da54ba54eb060dc73c36d3,"['dvpc', 'transfer']","[nan, '69104296141006533547389']"
0x38c15388260c8dde1844bf3f3c215a3a3214bf2732b60558b0bfab6551af3e4f,"['dvpc', 'transfer']","[nan, '7000000000000000000000']"
0x38ff30012dc4fbb2a17b60d239c72762d8c863ba58b5680dca300749fa30af22,"['dvpc', 'dc']","[nan, nan]"
0x3996de25d65861eddedd13b52cf3e67379b8c2823c98c6e3666bc0ca102c4ee6,"['dvpc', 'transfer']","[nan, '370215209161364826108896']"
0x3ac50dc0f615a2f28df1312d348e4261ecd30ea70db6205b6fed6130045fafee,"['dvpc', 'transfer']","[nan, '418429924144045141268']"
0x3acdd0f0519c378fa2fb980e46bf8db60f09a416ce2965b660af30056a8bbc47,"['dvpc', 'transfer']","[nan, '259988883631243919461955']"
0x3b96c4acb89a62f27949e94a383b67756ef7ebd62cbf4f50965639c8a119b6da,"['dvpc', 'transfer']","[nan, '1000000000000000000000000']"
0x3badc751756d8f874bf10976966a0b2bd5fb3679395b7d4b87061102822f3026,"['dvpc', 'transfer']","[nan, '262047185635377874516504']"
0x3bb5f3c2178bd4572249e7bf20b0c4fa6ba81d22a261d0772c8fe7f2ac782fa4,"['dvpc', 'transfer']","[nan, '181481488268770206636051']"
0x3c3a1389daf9f943e7472cf592d3e62dac2ed2dc2fa85cdde320e8cf3800b746,"['dvpc', 'transfer']","[nan, '1329335919957386831144']"
0x3c9f790d5c647f48fb6d9b8bed6b8766b28d0bca17ada8c5d057bbb59ca1d2ed,['dc'],[nan]
0x3cd12fb34e9fd53e10a2a55cca758ee0caa0af887a6d401dbb8d0bcd0fafab41,"['dvpc', 'transfer']","[nan, '100000000000000000000']"
0x3d3392c48cfa27937c6967d29ef965a924ada486701579f77c9bd25b59ef5a6c,"['dvpc', 'transfer']","[nan, '150000000000000000000000']"
0x3e86f66bfe58cbbd678d3eb6d93f7e57a3d2aa8c3db91b6383e6a7c86b5360a9,"['dvpc', 'transfer']","[nan, '32329942207470787302616']"
